id,year,Hispanic,Female,Grades,tobacco,alcohol,mj,sibsmoke,sibdrink,adultdrink,adultsmoke,year_value,rooms,nusing,present,sport_basket,sport_soccer,sport_run,school,has_sib,toa_smoke,toa_drink,toa_mj,exposure_smoke,exposure_count,exposure_smoke_se,exposure_female,exposure_2steps,exposure_indegree,exposure_density,exposure_team,exposure_simmelian,indegree,outdegree,ego_density,exposure_perceived_count,exposure_perceived
114-0443,3,0,0,3.5,0,0,0,0,0,0,1,2012,6,0,1,,,,114,1,,,,0,0,0.669693051279699,0,0.0555555555555556,0,0,0,0,0,1,0.5,0,0
114-0443,4,0,0,3.5,0,0,0,1,1,0,1,2013,6,0,1,,,,114,1,,,,0,0,0.493295849199566,0,0.25,0,0,0,0,1,2,0.333333333333333,0,0
114-0444,1,0,0,4.5,0,0,0,0,0,0,0,2010,5,0,1,,,,114,1,,,,,,,,,,,,,3,6,0.30952380952381,0,
114-0444,2,0,0,3.5,0,0,0,0,0,0,0,2011,3,0,1,,,,114,1,,,,0,0,0.00514845062015873,0,0,0,0,0,0,5,7,0.285714285714286,0,0
114-0444,3,0,0,4,0,0,0,0,0,0,0,2012,3,0,1,,,,114,1,,,,0.142857142857143,1,0.346175820375768,0.25,0.0789473684210526,0.176470588235294,0.161662817551963,0,0.5,5,6,0.19047619047619,0,0
114-0444,4,0,0,4,0,0,0,0,0,0,0,2013,3,0,1,,,,114,0,,,,0.166666666666667,1,0.288078146658261,0.2,0.0689655172413793,0.19047619047619,0,0,0,2,6,0.238095238095238,0,0
114-0445,1,,1,4.5,0,0,0,0,0,0,0,2010,3,0,1,,,1,114,1,,,,,,,,,,,,,7,1,1,0,
114-0445,2,,1,5,0,0,0,0,0,0,0,2011,3,0,1,,,1,114,1,,,,0,0,0.135631323714408,0,0,0,0,0,0,5,6,0.261904761904762,0,0
114-0445,3,,1,4.75,,,,0,,,,2012,3,0,,,,,114,1,,,,0,0,0.845360591301721,0,0.0697674418604651,0,0,0,0,3,0,0,0,0
114-0445,4,,1,4.75,,,,0,,,,2013,3,0,,,,,114,1,,,,0,0,0.216462651673507,0,0,0,0,0,0,0,0,0,0,0
114-0448,1,0,1,3.5,0,0,0,0,0,0,0,2010,2,0,1,,,,114,1,,,,,,,,,,,,,2,3,0.5,0,
114-0448,2,0,1,3.5,0,0,0,0,0,0,0,2011,2,0,1,,,,114,1,,,,0,0,0.00428461995617624,0,0.0869565217391304,0,0,0,0,1,4,0.25,0,0
114-0448,3,0,1,3.83333333333333,,,,0,,,,2012,2,0,,,,,114,1,,,,0,0,0.210368788844971,0,0.0689655172413793,0,0,0,0,4,0,0,0,0
114-0448,4,0,0,4.5,0,0,0,0,0,0,0,2013,2,0,1,,,1,114,1,,,,0,0,0.21317342208891,0,0,0,0,0,0,0,3,0.5,0,0
114-0449,1,1,1,3.5,0,0,0,0,0,1,0,2010,6,0,1,,,1,114,1,,4,,,,,,,,,,,3,4,0.55,0,
114-0449,2,1,1,4.5,0,0,0,0,0,1,0,2011,6,0,1,,1,1,114,1,,4,,0,0,0.00943079157367705,0,0.107142857142857,0,0,0,0,3,4,0.5,0,0
114-0449,3,1,1,3.5,0,0,0,0,0,1,1,2012,6,0,1,,1,,114,1,,4,,0,0,0.321044371005646,0,0.137931034482759,0,0,0,0,2,4,0.35,0,0
114-0449,4,1,1,3,0,1,0,0,1,1,1,2013,6,0,1,,,,114,1,,4,,0.25,1,0.287656956312837,0.25,0.2,0.05,0.43979057591623,0,0,3,1,1,0,0
114-0452,1,,1,3.5,0,0,0,0,0,0,0,2010,,0,1,,,,114,1,,,,,,,,,,,,,2,0,0,0,
114-0452,2,,1,3.5,0,0,0,0,0,0,0,2011,4,0,1,,,,114,1,,,,0,0,0.09056092552696,0,0,0,0,0,0,2,0,0,0,0
114-0452,3,,1,3.5,,,,0,,,,2012,4,0,,,,,114,1,,,,0,0,0.0890830269249911,0,0,0,0,0,0,0,0,0,0,0
114-0452,4,,1,3.5,,,,0,,,,2013,4,0,,,,,114,1,,,,0,0,0.169345476303786,0,0,0,0,0,0,0,0,0,0,0
114-0453,1,,1,3.5,0,0,0,0,0,0,0,2010,2,1,1,,,,114,1,,,,,,,,,,,,,1,1,0.5,1,
114-0453,2,,1,4.5,0,0,0,0,0,0,0,2011,2,0,1,,,,114,1,,,,0,0,0.00610782242386357,0,0,0,0,0,0,0,2,0.333333333333333,0,1
114-0453,3,,1,3.83333333333333,0,0,0,0,0,0,0,2012,2,0,1,,,,114,1,,,,0,0,0.230852849421784,0,0.125,0,0,0,0,1,1,1,0,0
114-0453,4,,1,3.5,0,,,0,,,0,2013,2,0,1,,,,114,1,,,,0,0,0.0666194037987241,0,0,0,0,0,0,1,1,1,0,0
114-0457,1,,1,1,0,0,0,,0,0,0,2010,2,0,1,1,1,1,114,,,,,,,,,,,,,,2,2,0.833333333333333,0,
114-0457,2,,1,1.5,0,0,0,0,0,0,0,2011,2,0,1,,,,114,1,,,,0,0,0.134868202947052,0,0.0833333333333333,0,0,0,0,6,9,0.255555555555556,0,0
114-0457,3,,1,1.25,,,,0,,,,2012,2,0,,,,,114,1,,,,0.111111111111111,1,0.674787011141905,0.142857142857143,0.116279069767442,0.147058823529412,0,0,0,1,0,0,0,0
114-0457,4,,1,1.25,,,,0,,,,2013,2,0,,,,,114,1,,,,0,0,0.16567640993336,0,0,0,0,0,0,0,0,0,0,0
114-0458,1,1,1,4.5,0,0,0,1,0,1,1,2010,2,0,1,,,,114,1,,3,,,,,,,,,,,5,7,0.25,0,
114-0458,2,1,1,4.5,0,0,0,0,0,1,1,2011,2,0,1,,,,114,1,,3,,0.285714285714286,2,0.00479321445024812,0.285714285714286,0.21875,0.222222222222222,0.21856027753686,0,0,7,10,0.372727272727273,0,0
114-0458,3,1,1,4,0,1,0,1,0,1,1,2012,2,0,1,,,,114,1,,3,,0,0,0.678672924197471,0,0.06,0,0,0,0,3,5,0.433333333333333,0,0
114-0458,4,1,1,4.5,0,1,0,1,1,1,1,2013,2,0,1,,,,114,1,,3,,0.2,1,0.255918109874828,0.25,0.28125,0.16,0.073022496371553,0,0.5,4,5,0.4,0,0
114-0459,1,0,0,4.5,0,1,0,0,0,1,0,2010,3,1,1,,,,114,1,,1,,,,,,,,,,,7,11,0.25,1,
114-0459,2,0,0,4.5,0,1,0,1,0,1,0,2011,3,0,1,,,,114,1,,1,,0.0909090909090909,1,0.0076756158479207,0.111111111111111,0.0579710144927536,0.105263157894737,0.172013651877133,0,0.5,5,9,0.288888888888889,0,0.0909090909090909
114-0459,3,0,0,4,0,1,0,1,0,1,0,2012,3,0,1,,,,114,1,,1,,0,0,0.851533748475739,0,0.0263157894736842,0,0,0,0,3,6,0.380952380952381,0,0
114-0459,4,0,0,4,0,1,0,0,1,1,0,2013,3,0,1,,,,114,1,,1,,0,0,0.0652858924338751,0,0,0,0,0,0,3,4,0.6,0,0
114-0460,1,1,1,3.5,0,0,0,0,0,0,0,2010,1,0,1,,,,114,1,,4,,,,,,,,,,,1,1,0.5,0,
114-0460,2,1,1,3.5,0,0,0,0,0,0,0,2011,2,0,1,,,,114,1,,4,,0,0,0.165952265329786,0,0,0,0,0,0,2,3,0.5,0,0
114-0460,3,1,1,3.5,0,0,0,0,0,1,1,2012,3,1,1,,,,114,1,,4,,0,0,0.672787916500851,0,0.0416666666666667,0,0,0,0,0,3,0.25,1,0
114-0460,4,1,1,3.5,0,1,0,0,0,1,1,2013,3,0,1,,,,114,1,,4,,0,0,0.227122887999574,0,0,0,0,0,0,0,1,0.5,0,0.333333333333333
114-0461,1,0,0,4.5,0,0,0,0,0,0,1,2010,5,0,1,,,1,114,1,,4,,,,,,,,,,,7,8,0.277777777777778,0,
114-0461,2,0,0,4.5,0,0,0,0,0,0,1,2011,6,0,1,,,1,114,1,,4,,0.125,1,0.0545775937863317,0.166666666666667,0.0847457627118644,0.0634920634920635,0.111412551998553,0.142857142857143,0,4,6,0.404761904761905,0,0
114-0461,3,0,0,5,0,0,0,0,0,0,1,2012,6,1,1,,,1,114,1,,4,,0.333333333333333,2,0.688584541872651,0.4,0.230769230769231,0.382352941176471,0.256983240223464,0.2,0,4,12,0.198717948717949,1,0
114-0461,4,0,0,5,0,1,0,0,0,0,1,2013,6,2,1,,,1,114,1,,4,,0.0833333333333333,1,0.0729828633701618,0.0909090909090909,0.140625,0.0540540540540541,0,0,0,3,8,0.194444444444444,2,0.0833333333333333
114-0462,1,0,1,4.5,0,0,0,0,0,0,1,2010,7,2,1,,,,114,1,,3,,,,,,,,,,,8,15,0.154166666666667,2,
114-0462,2,0,1,5,0,,,0,,,,2011,4,3,1,,,,114,1,,3,,0.0666666666666667,1,0.144789329439996,0.1,0.0823529411764706,0.0392156862745098,0,0,0,5,3,0.416666666666667,3,0.133333333333333
114-0462,3,0,1,5,0,1,0,1,0,0,0,2012,4,2,1,,,,114,1,,3,,0,0,0.325031731862375,0,0,0,0,0,0,7,7,0.285714285714286,2,1
114-0462,4,0,1,5,0,1,0,0,,,1,2013,4,2,1,,,,114,1,,3,,0.142857142857143,1,0.0762902219121374,0.25,0.166666666666667,0.0476190476190476,0.346677672307057,0,0,1,5,0.3,2,0.285714285714286
114-0463,1,0,1,5,0,0,0,0,0,0,1,2010,,0,1,,,1,114,1,,,,,,,,,,,,,2,3,0.5,0,
114-0463,2,0,1,5,0,0,0,0,0,1,1,2011,3,0,1,,,1,114,1,,,,0,0,0.00524455165886654,0,0,0,0,0,0,2,11,0.287878787878788,0,0
114-0463,3,0,1,5,0,0,0,0,0,0,1,2012,4,0,1,,,1,114,1,,,,0.181818181818182,2,0.0856573461597586,0,0.131578947368421,0.197674418604651,0.110200781594611,0.333333333333333,0,3,6,0.357142857142857,0,0
114-0463,4,0,1,5,0,0,0,0,1,0,0,2013,4,0,1,,,1,114,1,,,,0.166666666666667,1,0.0644444028488643,0,0.108108108108108,0.269230769230769,0,0,0,2,1,1.5,0,0
114-0464,1,0,1,5,0,0,0,0,0,1,1,2010,3,0,1,,,,114,1,,,,,,,,,,,,,4,4,0.45,0,
114-0464,2,0,1,5,0,0,0,0,0,0,1,2011,3,0,1,,,,114,1,,,,0,0,0.00548710195204379,0,0,0,0,0,0,4,1,0.5,0,0
114-0464,3,0,1,5,0,0,0,0,0,1,1,2012,3,0,1,,,,114,1,,,,0,0,0.0912640311509426,0,0,0,0,0,0,8,3,0.75,0,0
114-0464,4,0,1,5,0,,,0,,,0,2013,3,0,1,,,,114,1,,,,0,0,0.0752801488533617,0,0,0,0,0,0,5,7,0.25,0,0
114-0465,1,,1,5,0,,0,,,,,2010,2,0,1,,,,114,,3,2,,,,,,,,,,,2,0,0,0,
114-0465,2,,1,4.5,0,1,0,0,0,0,0,2011,4,2,1,,,,114,1,3,2,,0,0,0.0934779745638326,0,0,0,0,0,0,1,1,1,2,0
114-0465,3,,1,3.5,1,1,0,0,0,0,0,2012,3,0,1,,,,114,1,3,2,,0,0,0.203075070573095,0,0,0,0,0,0,0,1,0.5,0,1
114-0465,4,,1,4.33333333333333,1,1,,0,,,,2013,3,0,,,,,114,1,3,2,,0,0,0.237130974806236,0,0.0769230769230769,0,0,0,0,0,0,0,0,0
114-0467,1,0,1,4.5,0,0,0,0,0,1,1,2010,3,0,1,,,,114,1,,,,,,,,,,,,,2,3,0.583333333333333,0,
114-0467,2,0,1,5,0,0,0,0,0,1,1,2011,3,0,1,,,,114,0,,,,0,0,0.347516696436641,0,0,0,0,0,0,2,2,0.666666666666667,0,0
114-0467,3,0,1,4.5,0,0,0,0,0,1,0,2012,3,0,1,,,,114,1,,,,0,0,0.871631723070189,0,0,0,0,0,0,2,2,0.666666666666667,0,0
114-0467,4,0,1,4.5,0,0,0,0,0,0,0,2013,3,0,1,,,,114,0,,,,0,0,0.336942352749841,0,0,0,0,0,0,1,1,0.5,0,0
114-0468,1,0,0,5,0,0,0,0,1,1,1,2010,7,0,1,,,,114,0,4,,4,,,,,,,,,,6,0,0,0,
114-0468,2,0,0,5,0,0,0,0,0,1,1,2011,7,0,1,,,,114,1,4,,4,0,0,0.10215725111727,0,0,0,0,0,0,3,1,0.5,0,0
114-0468,3,0,0,5,,,,0,,,,2012,7,0,1,,,,114,1,4,,4,0,0,0.0940946114820337,0,0,0,0,0,0,1,0,0,0,0
114-0468,4,0,0,5,1,0,1,1,1,0,1,2013,7,1,1,,,,114,1,4,,4,0,0,0.207174917887138,0,0,0,0,0,0,1,0,0,1,0
114-0469,1,0,0,3.5,0,0,0,0,0,0,1,2010,4,0,1,1,,,114,1,,,,,,,,,,,,,0,3,0.25,0,
114-0469,2,0,0,3.5,0,0,0,0,0,0,1,2011,4,0,1,1,,,114,1,,,,0,0,0.136630772996001,0,0.0769230769230769,0,0,0,0,0,4,0.25,0,0
114-0469,3,0,0,3.5,0,0,0,0,0,0,1,2012,4,1,1,,,,114,1,,,,0,0,0.222843537226684,0,0.153846153846154,0,0,0,0,0,1,0.5,1,0
114-0469,4,0,0,3.5,0,0,0,0,0,0,1,2013,4,0,1,1,,,114,1,,,,0,0,0.250279082678409,0,0,0,0,0,0,1,4,0.4,0,1
114-0470,1,0,0,3.5,0,0,0,0,0,0,1,2010,2,0,1,,,,114,1,,,,,,,,,,,,,2,2,0.5,0,
114-0470,2,0,0,4.16666666666667,,,,0,,,,2011,2,0,,,,,114,1,,,,0,0,0.0184065573430406,0,0.125,0,0,0,0,2,0,0,0,0
114-0470,3,0,0,4.5,0,0,0,0,0,0,1,2012,2,0,1,,,,114,1,,,,0,0,0.0808531416235174,0,0,0,0,0,0,1,4,0.2,0,0
114-0470,4,0,0,4.5,0,0,0,0,0,0,1,2013,2,1,1,,,,114,1,,,,0.25,1,0.342756360327808,0,0.133333333333333,0.0588235294117647,0,0,0,2,3,0.333333333333333,1,0
114-0472,1,0,1,3.5,1,1,0,0,0,1,0,2010,3,3,1,,,,114,1,1,1,3,,,,,,,,,,0,3,0.25,3,
114-0472,2,0,1,3.5,1,1,0,0,0,1,0,2011,2,4,1,,,,114,1,1,1,3,0,0,0.190351616820923,0,0,0,0,0,0,0,1,0.5,4,1
